Line  11130
 02:10:58.7  3.232722 10 178.385 110.485 114.535 183.413 313.092 491.463 701.181 926.021 1152.633 1366.369 1546.379 1667.183 1708.678 1667.147 1556.657 1400.073 1219.434 1032.678 854.507 696.780 567.235 468.192 397.120 349.111 182.167 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 329.326 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:59.4  -nan 10 140.884 140.838 158.169 196.264 258.349 344.202 448.722 565.018 687.975 812.502 928.080 1016.491 1057.514 1040.188 970.428 867.916 755.763 651.867 565.949 500.473 453.126 419.723 396.487 380.879 307.924 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 376.407 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:10:59.9  -nan 10 264.043 124.771 95.374 161.905 313.230 529.854 788.281 1067.487 1350.006 1618.804 1852.859 2026.937 2118.475 2117.567 2031.290 1878.508 1681.069 1458.865 1229.565 1009.322 812.022 647.284 518.829 424.954 155.923 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 356.956 0.1063674 0.2166023 0.2389389 0.1039357 0.0407753 0.0196129 0.0112893 0.0073411 0.0051700 0.0038492 0.0030021 0.0024534 0.0021052 0.0018927 0.0017681 0.0016964 0.0016546 0.0016310 0.0016201 0.0016110 0.0015671 0.0014090 0.0010631 0.0005912 0.0031535 
 02:11:00.5  3.534084 10 156.096 124.308 141.548 206.287 317.111 467.054 644.757 838.117 1035.395 1222.593 1380.497 1486.618 1523.460 1487.485 1390.544 1252.816 1094.570 932.631 780.350 647.588 539.784 457.560 398.053 357.253 206.615 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 340.652 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:01.1  3.939046 10 142.829 142.609 168.392 222.540 306.320 417.229 549.126 694.237 843.730 985.533 1102.307 1174.122 1186.673 1139.275 1045.328 925.084 797.784 678.090 575.528 494.389 434.136 391.218 361.539 341.903 250.456 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 338.732 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:01.7  2.913215 10 200.971 126.587 126.419 193.880 323.376 503.676 719.666 955.944 1197.325 1426.542 1622.136 1760.628 1823.911 1806.979 1719.145 1578.015 1402.459 1209.679 1015.417 834.011 676.931 550.700 456.039 389.398 179.194 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 348.251 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:02.4  3.682405 10 140.458 135.880 165.702 231.232 332.243 464.036 618.376 785.986 957.281 1120.230 1258.000 1350.565 1381.760 1347.438 1257.715 1131.462 988.564 845.574 714.801 604.127 516.659 451.262 404.487 372.641 246.293 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 359.758 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:02.9  3.614907 10 134.746 133.739 166.682 234.918 337.833 470.245 623.660 788.934 957.002 1116.624 1251.816 1343.142 1374.466 1341.146 1252.750 1128.007 987.045 846.635 718.934 611.298 526.196 462.082 415.492 383.067 255.175 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 367.896 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:03.5  -nan 10 203.251 119.766 121.116 198.418 343.755 542.642 777.452 1031.509 1289.738 1536.088 1750.456 1909.389 1992.513 1991.098 1911.601 1771.201 1590.159 1387.194 1178.790 979.478 801.094 651.279 532.674 443.959 181.669 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 374.473 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:04.2  4.019598 10 137.194 144.241 175.507 233.511 319.098 429.359 558.151 698.265 842.382 981.247 1101.074 1184.162 1214.750 1187.057 1108.980 998.203 874.543 754.344 648.474 562.211 495.966 447.015 411.796 387.429 284.055 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 377.451 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:04.8  -nan 10 172.840 129.214 143.563 212.329 331.729 493.251 684.953 894.299 1109.038 1315.592 1496.902 1632.983 1705.963 1707.192 1640.934 1521.573 1367.302 1195.423 1020.904 856.307 711.280 591.581 498.739 431.046 216.988 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 382.444 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:05.4  -nan 10 181.397 133.807 145.523 212.774 331.734 493.871 687.033 898.312 1114.987 1322.999 1504.879 1640.401 1711.705 1710.425 1641.273 1519.118 1362.609 1189.491 1015.110 852.184 710.090 593.872 504.151 438.555 229.237 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 387.739 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:05.9  -nan 10 225.954 136.715 130.675 199.870 337.044 529.371 760.308 1013.233 1271.984 1518.828 1732.405 1889.258 1970.220 1967.951 1889.344 1750.906 1571.882 1370.464 1163.334 965.697 790.073 644.332 530.657 446.740 196.485 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 378.593 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 
 02:11:06.6  2.762436 10 234.300 130.724 126.092 208.563 367.612 586.030 843.955 1122.757 1404.947 1671.408 1899.015 2062.583 2142.179 2131.227 2038.467 1882.337 1683.598 1461.767 1234.998 1020.050 830.602 674.738 553.732 463.830 196.768 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 384.244 0.1406932 0.2289928 0.1851167 0.0838437 0.0374333 0.0195390 0.0117458 0.0078174 0.0055894 0.0042210 0.0033461 0.0027833 0.0024284 0.0022112 0.0020805 0.0019978 0.0019373 0.0018848 0.0018347 0.0017825 0.0017035 0.0015290 0.0011852 0.0007156 0.0026532 
