Line  1740
  13:38:27.00  4.804075 10 5.822 4.397 2.732 6.494 1.310 2.504 2.160 0.509 1.045 0.108 0.010 0.051 0.178 0.730 2.130 2.396 1.631 1.137 0.980 0.969 0.989 1.000 1.001 1.000 1.000 -3.604 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.6499558 0.6210189 0.6926571 0.3477920 0.7570895 0.4627794 0.4421341 0.7704536 0.4065434 0.5701963 0.3704420 0.0385193 0.0000643 0.0000010 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1482613 
  13:38:27.80  3.593928 10 6.594 4.112 2.627 13.612 1.195 2.118 4.658 0.557 0.731 0.206 0.020 0.060 0.233 1.019 2.571 2.540 1.625 1.120 0.971 0.966 0.989 1.000 1.001 1.000 1.000 -4.767 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.6186703 0.6641776 0.7189238 0.2268836 0.7962881 0.5039296 0.2612203 0.7763140 0.4827501 0.5076614 0.5761898 0.0348013 0.0010868 0.0000522 0.0000016 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1272855 
  13:38:28.40  2.768616 10 6.635 3.932 2.532 14.007 1.197 1.801 5.037 0.546 0.788 0.185 0.022 0.091 0.450 1.547 2.908 2.508 1.564 1.094 0.963 0.965 0.990 1.000 1.001 1.000 1.000 -6.460 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.6122282 0.6691453 0.7117633 0.2195663 0.7846563 0.5431156 0.2430569 0.7799233 0.4437426 0.5198259 0.5612331 0.0402789 0.0016732 0.0000561 0.0000041 0.0000010 0.0000005 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1204309 
  13:38:29.00  2.410926 10 5.809 3.800 2.463 9.899 1.261 1.429 5.291 0.697 0.435 0.214 0.019 0.058 0.473 1.482 2.473 2.251 1.500 1.087 0.967 0.969 0.990 1.000 1.001 1.000 1.000 -5.932 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.6334933 0.6428498 0.6780551 0.2540334 0.7317518 0.5750780 0.2196005 0.6694040 0.6469882 0.3918703 0.4945841 0.0280571 0.0009706 0.0000183 0.0000012 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1304595 
  13:38:29.60  2.165633 10 5.681 4.112 2.532 9.720 1.771 1.317 7.169 1.871 0.499 1.211 0.123 0.024 0.285 1.267 1.990 1.942 1.417 1.084 0.977 0.974 0.992 1.000 1.001 1.000 1.000 -4.216 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.6252955 0.6010259 0.6414531 0.2521664 0.6430957 0.6242988 0.2086736 0.4164342 0.7337209 0.2960310 0.3670691 0.1622824 0.0240529 0.0001500 0.0000135 0.0000040 0.0000013 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1225688 
  13:38:30.20  2.593562 10 4.018 5.055 2.411 7.268 2.069 1.365 4.878 2.105 0.627 0.743 0.217 0.038 0.226 1.454 2.560 2.161 1.445 1.075 0.968 0.970 0.991 1.000 1.001 1.000 1.000 -6.379 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.6993307 0.4418922 0.6662784 0.2870603 0.5603913 0.6014083 0.2360255 0.3432067 0.6606325 0.4690640 0.2955028 0.4596547 0.0545233 0.0008977 0.0000347 0.0000126 0.0000070 0.0000023 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.1757134 
  13:38:30.80  2.920819 10 3.419 4.916 2.788 6.294 1.975 1.275 5.557 2.805 0.642 0.514 0.253 0.046 0.251 1.378 2.286 2.005 1.403 1.071 0.971 0.973 0.992 1.000 1.001 1.000 1.000 -5.248 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7138538 0.4088721 0.6003924 0.3038832 0.5523736 0.6191344 0.1947675 0.2506322 0.6429505 0.5314248 0.2624948 0.4944802 0.0659519 0.0013165 0.0000575 0.0000196 0.0000106 0.0000037 0.0000006 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2029425 
  13:38:31.50  2.722289 10 2.800 4.964 3.385 4.476 1.547 2.011 4.352 1.634 0.687 0.693 0.208 0.032 0.127 0.868 1.776 1.735 1.336 1.076 0.986 0.980 0.993 1.000 1.000 1.000 1.000 -4.325 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7390123 0.3668001 0.5253437 0.3584347 0.6040515 0.4187923 0.2422298 0.3867277 0.6198223 0.4366896 0.2494671 0.3077148 0.0293251 0.0007245 0.0000337 0.0000072 0.0000020 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2523266 
  13:38:32.10  3.293241 10 2.722 4.729 3.445 3.881 1.585 2.169 3.316 1.411 0.811 0.528 0.199 0.043 0.138 0.847 1.726 1.703 1.328 1.077 0.987 0.980 0.993 1.000 1.000 1.000 1.000 -3.509 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7284830 0.3822594 0.5097600 0.3767258 0.5879919 0.3978422 0.2834076 0.4177615 0.5278382 0.4814840 0.2167757 0.3371410 0.0421977 0.0010971 0.0000550 0.0000142 0.0000049 0.0000010 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2413086 
  13:38:32.60  2.950688 10 2.926 4.029 3.615 3.822 1.553 2.479 3.351 1.398 0.818 0.523 0.215 0.035 0.218 1.001 1.620 1.659 1.325 1.077 0.987 0.980 0.993 1.000 1.001 1.000 1.000 -2.253 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7083793 0.4531747 0.4874893 0.3890214 0.6084377 0.3616483 0.2841066 0.4392338 0.5455818 0.5128062 0.2459706 0.3338132 0.0393038 0.0005202 0.0000460 0.0000136 0.0000045 0.0000008 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2197282 
  13:38:33.30  2.388243 10 3.010 3.998 3.477 3.432 1.525 3.040 3.524 1.121 0.764 0.760 0.140 0.028 0.211 0.962 1.581 1.629 1.312 1.075 0.988 0.981 0.993 1.000 1.001 1.000 1.000 -2.179 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7015864 0.4691848 0.4984312 0.4195275 0.6243359 0.3067115 0.2746298 0.5110502 0.5747515 0.3998147 0.2770174 0.1975836 0.0255408 0.0003131 0.0000274 0.0000068 0.0000018 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2149567 
  13:38:33.90  2.332434 10 2.964 4.150 3.105 3.518 1.500 2.345 3.435 1.173 0.678 0.535 0.108 0.026 0.152 0.857 1.604 1.651 1.324 1.081 0.990 0.981 0.993 1.000 1.000 1.000 1.000 -2.529 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7041277 0.4571284 0.5338914 0.4082053 0.6077067 0.3740357 0.2831926 0.4859834 0.5297602 0.4280992 0.3028473 0.1127102 0.0146949 0.0002842 0.0000123 0.0000020 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2238024 
  13:38:34.40  2.102704 10 2.859 4.711 2.731 3.314 1.611 2.686 3.231 1.033 0.723 0.755 0.105 0.053 0.291 1.279 2.144 1.932 1.388 1.075 0.976 0.975 0.992 1.000 1.001 1.000 1.000 -3.105 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7137116 0.4176839 0.5796392 0.4192717 0.5961268 0.3373586 0.2949841 0.5287375 0.4922567 0.1957076 0.1639207 0.4485727 0.0527537 0.0015338 0.0000923 0.0000259 0.0000106 0.0000032 0.0000007 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2368822 
  13:38:35.10  1.926846 10 3.000 5.383 2.426 3.588 1.984 1.957 3.194 1.528 0.686 0.668 0.148 0.045 0.331 1.436 2.216 1.989 1.403 1.072 0.972 0.973 0.992 1.000 1.001 1.000 1.000 -3.403 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.7225726 0.4032881 0.6242005 0.4101336 0.5342541 0.4547029 0.3086905 0.4140424 0.5776239 0.4024089 0.2383952 0.4253165 0.0567273 0.0008318 0.0000509 0.0000177 0.0000093 0.0000032 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.2312721 
  13:38:35.70  3.405385 10 1.869 13.527 4.613 1.452 1.694 3.504 3.658 0.759 0.405 0.457 0.033 0.033 0.398 1.567 2.373 2.097 1.438 1.076 0.969 0.971 0.991 1.000 1.001 1.000 1.000 -3.060 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.8580636 0.1672786 0.3589091 0.6683843 0.5908036 0.2501508 0.2129484 0.6528576 0.6900736 0.2317272 0.4605769 0.0461954 0.0002010 0.0000484 0.0000030 0.0000006 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.5179408 
  13:38:36.20  8.608220 10 1.623 39.431 18.924 1.271 1.792 7.782 4.849 0.754 0.755 0.725 0.074 0.011 0.176 1.149 1.845 1.763 1.341 1.071 0.981 0.978 0.993 1.000 1.001 1.000 1.000 -2.369 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 1.000 0.9287923 0.0772662 0.1161485 0.8149111 0.6314682 0.1755903 0.1876739 0.6771009 0.5179309 0.3690159 0.4154243 0.0504615 0.0119180 0.0000093 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.6225108 
