Line  186
      08:36:53.80  0.992558 9 22.528 31.795 42.380 48.657 50.324 48.026 42.976 36.714 30.942 27.194 26.427 28.870 33.952 40.211 45.562 47.988 46.210 40.766 25.495 11.388 -0.021 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 20.925 0.4137452 0.2760198 0.1299110 0.1040416 0.1069600 0.1206376 0.1379213 0.1500659 0.1521399 0.1550327 0.1604596 0.1389653 0.0901974 0.0461301 0.0202264 0.0082562 0.0037935 0.0030555 0.0050794 0.0139310 0.0094109 
      08:36:54.39  1.993949 10 17.998 52.421 96.578 106.657 97.340 75.171 47.977 26.702 16.674 15.481 20.152 28.768 39.362 49.951 58.128 61.228 57.377 47.769 22.825 6.428 -0.235 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 20.095 0.5973738 0.1855313 0.0415901 0.0307974 0.0384273 0.0614929 0.1181175 0.2187377 0.2829937 0.2584831 0.1976858 0.1161810 0.0566407 0.0255126 0.0111834 0.0049366 0.0023220 0.0015166 0.0019882 0.0100345 0.0075121 
      08:36:55.00  2.803505 10 16.997 68.782 142.752 153.872 133.876 93.470 49.747 23.436 17.038 23.508 36.777 47.516 51.067 48.848 43.503 36.182 26.875 17.128 10.460 10.049 -0.527 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 24.847 0.6654851 0.1508668 0.0223543 0.0161878 0.0228223 0.0459528 0.1196998 0.2703088 0.3120243 0.1810253 0.0953626 0.0620447 0.0480839 0.0378863 0.0266862 0.0158716 0.0094002 0.0103758 0.0131657 0.0191225 0.0064134 
      08:36:55.60  1.532001 10 15.431 39.758 68.533 71.807 60.853 43.861 28.638 19.939 17.842 20.637 26.674 34.396 42.514 49.686 54.098 53.790 47.669 37.201 17.548 5.695 -0.242 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 18.422 0.5877304 0.2003256 0.0566954 0.0501759 0.0720688 0.1228005 0.2029391 0.2536393 0.2325235 0.1965927 0.1479993 0.0929610 0.0509603 0.0254954 0.0120333 0.0055998 0.0028572 0.0021988 0.0027268 0.0124986 0.0097147 
      08:36:56.20  1.673448 10 15.345 46.604 82.173 80.976 62.273 38.498 22.128 16.965 20.423 29.241 38.791 45.710 49.480 50.658 49.366 44.915 36.754 26.243 13.388 6.536 -0.330 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 18.873 0.6172536 0.1785541 0.0427953 0.0404719 0.0685098 0.1430375 0.2622637 0.2914865 0.2056531 0.1345169 0.0936330 0.0682081 0.0485652 0.0316953 0.0182823 0.0093701 0.0049004 0.0043505 0.0058586 0.0162917 0.0085586 
      08:36:56.80  1.210887 10 15.197 34.136 51.213 47.518 35.613 24.828 20.211 22.097 28.831 37.334 44.491 48.918 50.539 49.698 46.580 40.942 32.658 23.078 11.777 5.730 -0.199 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 17.180 0.5525682 0.2131621 0.0767128 0.0845719 0.1399276 0.2250240 0.2582396 0.1997300 0.1372779 0.1020327 0.0815093 0.0653872 0.0495021 0.0336632 0.0197704 0.0099194 0.0050724 0.0051326 0.0076837 0.0180737 0.0100879 
      08:36:57.39  1.723441 10 17.721 19.740 22.860 26.936 29.883 30.331 28.208 24.812 22.188 22.066 25.292 31.711 39.953 47.636 52.156 51.456 44.611 33.416 11.738 2.217 0.069 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 14.165 0.4107292 0.3126565 0.1971579 0.1729693 0.1604298 0.1521807 0.1467521 0.1494590 0.1703960 0.1867296 0.1528031 0.0901063 0.0429795 0.0186311 0.0079245 0.0035384 0.0018545 0.0014666 0.0018665 0.0120416 0.0155451 
      08:36:58.00  1.322006 10 20.394 27.981 31.558 29.995 27.108 25.314 25.398 26.861 28.758 30.596 32.634 35.404 39.059 42.932 45.432 44.553 38.996 29.827 13.795 4.591 -0.000 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 16.146 0.4155153 0.2699246 0.1497233 0.1566551 0.1899029 0.2061861 0.1840325 0.1486387 0.1309789 0.1292702 0.1222310 0.0972397 0.0626591 0.0333442 0.0153245 0.0065816 0.0032915 0.0030205 0.0044304 0.0153758 0.0114556 
      08:36:58.60  7.431421 10 23.704 79.248 144.630 146.602 112.945 58.002 18.994 9.662 17.854 39.993 62.024 75.157 79.975 78.435 71.465 58.463 38.672 16.122 5.019 5.223 -0.320 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 26.531 0.5495566 0.1520356 0.0241737 0.0162597 0.0265272 0.0832264 0.2671361 0.4126472 0.2004870 0.0705455 0.0321869 0.0209900 0.0157981 0.0120555 0.0088271 0.0061803 0.0044087 0.0040647 0.0077288 0.0205866 0.0052994 
      08:36:59.20  12.099392 1 34.254 35.560 36.339 38.639 42.152 45.772 47.761 46.753 42.974 38.164 34.226 32.183 32.051 33.035 33.854 33.419 31.580 29.116 25.912 23.380 0.025 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 236.887 28.863 0.2584063 0.2385089 0.1570115 0.1461593 0.1327564 0.1052631 0.0782827 0.0631932 0.0640628 0.0790096 0.0958859 0.0962441 0.0754669 0.0475949 0.0261746 0.0143991 0.0095197 0.0078142 0.0072814 0.0124779 0.0092801 
