Line  1740
  13:38:27.00  4.771861 10 7.628 7.901 3.180 9.354 5.584 1.971 6.842 10.682 3.346 1.885 4.074 5.063 3.536 1.678 0.652 0.279 0.509 1.630 2.674 2.787 2.572 2.384 2.304 2.291 2.298 -2.259 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.303 0.6447051 0.4768666 0.7260262 0.3319185 0.4538562 0.7021457 0.2504606 0.1745702 0.4129810 0.5333717 0.2996821 0.2211940 0.2106865 0.1125391 0.0378315 0.3593572 0.1237567 0.0082351 0.0003187 0.0000701 0.0000290 0.0000076 0.0000009 0.0000001 0.0000000 0.1055403 
  13:38:27.80  3.516330 10 8.409 10.285 2.470 15.050 8.437 1.401 7.663 18.335 4.866 1.100 3.360 7.298 3.873 0.411 0.257 0.573 1.541 2.655 2.973 2.753 2.467 2.304 2.256 2.260 2.271 -3.917 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.274 0.6493146 0.4298366 0.8170814 0.2535393 0.3705361 0.8097771 0.2073453 0.1206664 0.3200796 0.6872334 0.3100491 0.1237228 0.0596159 0.0474401 0.5327981 0.1755334 0.0195555 0.0013881 0.0001655 0.0000404 0.0000182 0.0000057 0.0000008 0.0000001 0.0000000 0.0815969 
  13:38:28.40  2.636715 10 8.259 11.484 2.260 18.342 11.121 1.316 6.335 18.112 5.487 1.100 2.881 7.161 3.892 0.349 0.304 0.502 1.152 2.098 2.497 2.459 2.311 2.202 2.161 2.158 2.163 -5.542 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.165 0.6559749 0.3993207 0.8403223 0.2104472 0.2870915 0.8145812 0.2373867 0.1220806 0.2843922 0.6761328 0.3254890 0.1122219 0.0341547 0.0889568 0.4976229 0.1810651 0.0204827 0.0013228 0.0001532 0.0000503 0.0000189 0.0000040 0.0000004 0.0000000 0.0000000 0.0763083 
  13:38:29.00  2.265645 10 8.063 12.042 2.239 17.963 14.498 1.455 4.190 15.046 9.310 2.122 1.652 4.172 5.764 1.936 0.479 0.400 0.733 1.595 2.312 2.420 2.285 2.161 2.109 2.102 2.107 -4.866 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.110 0.6589093 0.3723567 0.8404095 0.1828387 0.2155612 0.7783500 0.3395345 0.1151970 0.1730283 0.5174421 0.5326830 0.2208880 0.0906226 0.0470856 0.0933607 0.3976277 0.1083691 0.0080152 0.0005126 0.0001137 0.0000458 0.0000110 0.0000011 0.0000001 0.0000000 0.0725845 
  13:38:29.60  2.077370 10 7.683 10.585 2.336 14.307 13.658 1.707 3.493 12.022 11.149 3.530 1.779 3.571 6.266 4.174 1.369 0.669 0.628 1.167 2.068 2.514 2.483 2.348 2.267 2.245 2.247 -3.232 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.252 0.6507068 0.3768598 0.8077309 0.1961378 0.2116155 0.7237041 0.4016342 0.1432436 0.1427835 0.3684582 0.5327193 0.2780602 0.1177045 0.0877265 0.0434890 0.1264782 0.2643218 0.0611356 0.0043820 0.0003233 0.0001045 0.0000420 0.0000073 0.0000004 0.0000001 0.0710509 
  13:38:30.20  2.669679 9 4.210 8.339 3.232 7.892 6.424 2.153 4.209 9.610 8.630 3.993 2.549 3.685 5.955 5.872 3.305 1.599 1.172 1.418 2.030 2.512 2.583 2.457 2.357 2.326 2.326 -4.078 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.332 0.7222809 0.3280987 0.6111011 0.3233799 0.3439887 0.5891117 0.3187573 0.1617088 0.1912646 0.3454053 0.4197100 0.2865896 0.1449320 0.0974446 0.0870219 0.0586584 0.1165351 0.1269413 0.0384998 0.0053463 0.0004657 0.0001205 0.0000550 0.0000081 0.0000002 0.1888088 
  13:38:30.80  2.900599 10 4.957 7.054 3.106 10.872 10.133 1.937 3.478 10.218 12.062 6.142 2.566 2.511 3.983 4.492 3.131 1.747 1.213 1.499 2.445 3.179 3.140 2.801 2.577 2.515 2.524 -3.536 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.541 0.6744499 0.3907167 0.6552568 0.2275777 0.2250551 0.6482385 0.3730887 0.1497258 0.1111130 0.2267344 0.4189364 0.3694290 0.2132839 0.1339297 0.1043124 0.0520132 0.0956317 0.1141188 0.0331466 0.0046475 0.0004781 0.0000929 0.0000541 0.0000123 0.0000006 0.1263366 
  13:38:31.50  2.677188 10 4.675 5.394 3.942 9.838 6.713 2.013 4.947 11.868 10.716 4.925 2.804 3.778 6.036 6.859 5.027 2.694 1.472 1.189 1.559 2.237 2.650 2.694 2.618 2.563 2.545 -2.522 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.549 0.6601565 0.4523439 0.5313818 0.2591143 0.2968506 0.6356333 0.2763156 0.1204809 0.1429242 0.3012852 0.4250533 0.3066955 0.1633213 0.0981939 0.0807916 0.0529850 0.0458582 0.1255342 0.0640071 0.0093719 0.0006529 0.0001158 0.0000592 0.0000112 0.0000004 0.1344542 
  13:38:32.10  3.269468 10 4.696 4.757 4.281 8.726 5.391 2.187 5.087 9.557 7.361 4.073 3.364 3.942 4.300 4.049 3.247 2.288 1.728 1.733 2.202 2.731 2.916 2.824 2.700 2.644 2.637 -1.717 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.647 0.6405240 0.4944422 0.4846153 0.2750956 0.3364227 0.5932999 0.2710809 0.1486140 0.1994054 0.3249248 0.3373416 0.2703637 0.2032801 0.1569973 0.1280828 0.0828186 0.0627115 0.0849779 0.0428232 0.0090090 0.0010347 0.0001234 0.0000631 0.0000163 0.0000009 0.1261006 
  13:38:32.60  2.930454 10 5.691 4.333 4.079 8.708 5.308 2.241 5.201 9.620 7.409 4.121 3.372 3.680 3.819 4.027 3.845 2.431 1.078 0.888 1.730 2.819 3.107 2.941 2.763 2.686 2.674 -0.802 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.687 0.6059122 0.5508719 0.4949823 0.2804447 0.3477040 0.5945622 0.2726363 0.1472630 0.1971843 0.3276597 0.3495627 0.3032616 0.2403649 0.1551412 0.0888971 0.0378054 0.0687388 0.1493245 0.0392628 0.0030367 0.0002084 0.0000733 0.0000353 0.0000061 0.0000002 0.1044338 
  13:38:33.30  2.357417 10 5.859 4.586 3.884 7.782 4.811 2.398 5.636 10.211 7.286 3.555 3.134 4.553 5.680 5.002 3.148 1.726 1.105 1.098 1.712 2.478 2.794 2.763 2.666 2.611 2.597 -0.774 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.604 0.6091103 0.5380941 0.5175515 0.3079695 0.3790518 0.5763701 0.2614720 0.1407122 0.2104970 0.3743799 0.3744425 0.2555759 0.1583697 0.1145011 0.0868006 0.0511903 0.1075036 0.1409024 0.0378263 0.0036883 0.0002815 0.0000957 0.0000400 0.0000060 0.0000002 0.0998509 
  13:38:33.90  2.305214 10 5.517 4.831 3.717 7.571 5.017 2.269 5.055 9.813 7.921 3.947 3.052 4.487 5.568 4.049 2.427 2.131 2.177 1.843 1.791 2.186 2.558 2.652 2.611 2.568 2.552 -0.988 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.554 0.6209965 0.5201177 0.5375931 0.3146072 0.3671483 0.5868688 0.2852951 0.1493362 0.1930345 0.3374155 0.3707719 0.2437936 0.1622692 0.1672367 0.1879073 0.1170719 0.0607063 0.0681554 0.0414208 0.0094565 0.0009684 0.0001294 0.0000571 0.0000120 0.0000006 0.1052923 
  13:38:34.40  2.090740 10 4.407 5.410 3.375 5.872 4.009 2.414 5.248 8.568 5.225 2.249 2.609 4.754 4.110 1.331 0.697 1.118 1.769 2.404 2.880 2.960 2.781 2.593 2.504 2.490 2.499 -1.691 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.506 0.6616186 0.4629553 0.5637147 0.3632880 0.4056494 0.5467647 0.2625415 0.1639034 0.2597943 0.4435758 0.3447051 0.1504501 0.0796283 0.0775467 0.2333421 0.2500914 0.1124373 0.0284528 0.0051700 0.0006707 0.0001184 0.0000693 0.0000223 0.0000023 0.0000001 0.1336411 
  13:38:35.10  1.931096 10 4.149 6.827 3.229 5.041 4.914 2.744 3.963 7.236 6.984 3.679 2.419 3.273 4.089 2.628 1.246 0.945 1.157 1.864 2.691 2.975 2.793 2.553 2.434 2.413 2.423 -1.797 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.432 0.6897826 0.3991725 0.5994700 0.4025941 0.3632960 0.5067360 0.3476376 0.1980442 0.2025758 0.3180504 0.4004125 0.2633283 0.1476676 0.1116265 0.0906253 0.1528717 0.1873951 0.0614858 0.0095722 0.0011226 0.0001553 0.0000766 0.0000274 0.0000032 0.0000001 0.1458826 
  13:38:35.70  3.364093 3 2.274 14.827 10.633 2.884 2.344 4.441 7.252 7.936 5.167 2.480 2.289 3.344 3.755 2.208 0.878 0.619 1.026 1.918 2.621 2.771 2.629 2.476 2.404 2.390 2.395 -0.686 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.400 0.8328599 0.1677503 0.2313096 0.6021075 0.5286598 0.3356615 0.1822379 0.1818282 0.2889059 0.4126849 0.3771221 0.2413171 0.1393688 0.0841268 0.0832036 0.2550073 0.1635643 0.0314841 0.0037750 0.0004226 0.0001028 0.0000519 0.0000128 0.0000010 0.0000001 0.4532038 
