Line  1740
  13:38:27.00  4.769212 10 8.042 8.999 3.086 11.188 7.442 1.942 7.383 14.593 5.970 2.086 4.110 8.124 8.541 6.513 3.465 1.641 1.016 0.869 1.644 2.975 3.534 3.378 3.119 2.984 2.953 -2.174 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.972 0.6469211 0.4485867 0.7566544 0.3029061 0.3955745 0.7319666 0.2502190 0.1366643 0.2884268 0.5820630 0.3380715 0.1852215 0.1302719 0.1153707 0.0840987 0.0588354 0.1314573 0.2172412 0.0592986 0.0050689 0.0003801 0.0000896 0.0000432 0.0000099 0.0000006 0.0951806 
  13:38:27.80  3.513723 10 8.563 11.702 2.446 17.645 11.927 1.418 7.944 21.442 8.439 1.405 2.581 7.611 8.863 3.179 0.429 0.535 1.261 2.322 3.220 3.473 3.285 3.020 2.862 2.816 2.820 -3.803 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.834 0.6573157 0.4009179 0.8381872 0.2294037 0.2943377 0.8270949 0.2115695 0.0879256 0.2138148 0.6836211 0.4338751 0.1498803 0.0519658 0.0183692 0.2189017 0.4396789 0.1218679 0.0152798 0.0018532 0.0002453 0.0000536 0.0000267 0.0000089 0.0000012 0.0000001 0.0782974 
  13:38:28.40  2.740044 10 6.885 9.630 2.512 15.695 10.195 1.461 6.392 16.557 7.652 1.643 2.449 6.875 8.923 3.612 0.562 0.604 1.375 2.186 2.694 2.920 2.929 2.837 2.752 2.716 2.712 -4.676 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.719 0.6697877 0.4241021 0.7866547 0.2409532 0.3119339 0.7858940 0.2324399 0.1074402 0.2319187 0.6133310 0.4263858 0.1547388 0.0537906 0.0210165 0.1345041 0.4222937 0.1534699 0.0261669 0.0041233 0.0005460 0.0000920 0.0000448 0.0000147 0.0000017 0.0000001 0.1162018 
  13:38:29.00  2.254845 10 8.203 14.031 2.253 21.288 20.809 1.587 3.882 15.024 13.735 3.763 1.739 4.621 9.415 8.269 2.957 0.914 0.985 1.480 2.141 2.816 3.096 3.014 2.863 2.783 2.767 -4.679 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.779 0.6670461 0.3332131 0.8614419 0.1463981 0.1618747 0.7835837 0.3938515 0.1303966 0.1353836 0.3934691 0.5816782 0.2403848 0.0804148 0.0553327 0.0453595 0.0769736 0.2378946 0.1388731 0.0281520 0.0032800 0.0003053 0.0000963 0.0000444 0.0000080 0.0000003 0.0675973 
  13:38:29.60  2.064505 10 7.948 12.417 2.316 16.204 17.589 1.826 3.337 12.881 14.342 5.296 2.030 3.768 7.973 8.484 4.554 1.794 1.267 1.468 1.993 2.745 3.224 3.232 3.073 2.966 2.935 -3.167 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.947 0.6584851 0.3360835 0.8329920 0.1661065 0.1760940 0.7286868 0.4471798 0.1480834 0.1117344 0.2899678 0.5437948 0.3016298 0.1219880 0.0744998 0.0779339 0.0549099 0.0933164 0.1497845 0.0616878 0.0103874 0.0010033 0.0001292 0.0000689 0.0000201 0.0000015 0.0644009 
  13:38:30.20  2.686185 8 4.116 8.601 3.325 7.907 6.670 2.154 4.559 10.198 9.044 4.299 2.784 4.196 6.630 7.020 4.839 2.676 1.877 1.951 2.430 2.963 3.204 3.125 2.967 2.881 2.865 -3.900 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 2.879 0.7281359 0.3179262 0.6011582 0.3261064 0.3354940 0.6011539 0.2979408 0.1525258 0.1894884 0.3427421 0.4130999 0.2739025 0.1490153 0.1057922 0.1036349 0.0880391 0.0612187 0.0832131 0.0597631 0.0185317 0.0030744 0.0002974 0.0000868 0.0000371 0.0000046 0.1991502 
  13:38:30.80  2.898246 10 5.095 7.354 3.049 11.359 11.568 1.990 3.375 10.877 12.986 6.931 2.853 2.663 4.380 5.235 4.007 2.535 1.825 1.855 2.588 3.583 3.980 3.709 3.323 3.122 3.083 -3.519 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.122 0.6740028 0.3826640 0.6735426 0.2150689 0.2041439 0.6489445 0.3900908 0.1460018 0.1026047 0.2113945 0.4068673 0.3731092 0.2145712 0.1383897 0.1222737 0.0808818 0.0468671 0.0812894 0.0506861 0.0128122 0.0020183 0.0002229 0.0000626 0.0000327 0.0000055 0.1204756 
  13:38:31.50  2.671795 10 4.873 5.559 3.797 10.548 7.858 2.004 4.956 12.888 11.970 5.608 2.986 4.073 6.905 8.280 6.918 4.367 2.616 1.970 2.011 2.508 3.060 3.295 3.265 3.180 3.135 -2.504 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.134 0.6566638 0.4479483 0.5589080 0.2446523 0.2630268 0.6525380 0.2788539 0.1139848 0.1292000 0.2824690 0.4313412 0.3066662 0.1604556 0.0973776 0.0826721 0.0722478 0.0406992 0.0522129 0.0733821 0.0305956 0.0051307 0.0004359 0.0000829 0.0000430 0.0000076 0.1273943 
  13:38:32.10  3.267635 10 4.858 4.875 4.119 9.140 6.063 2.157 5.106 10.380 8.057 4.322 3.489 4.329 4.968 4.696 3.877 2.989 2.474 2.425 2.756 3.253 3.563 3.544 3.379 3.258 3.220 -1.706 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.237 0.6379803 0.4893794 0.5075451 0.2667881 0.3083677 0.6101299 0.2721242 0.1390781 0.1867186 0.3229994 0.3422050 0.2623980 0.1948711 0.1594714 0.1415142 0.1068252 0.0565704 0.0521697 0.0440813 0.0173313 0.0036314 0.0004307 0.0000729 0.0000376 0.0000081 0.1209315 
  13:38:32.60  2.928882 10 6.036 4.562 3.833 9.449 6.268 2.215 5.187 10.700 8.589 4.666 3.606 4.214 4.762 4.999 5.042 4.237 2.607 1.527 1.628 2.651 3.596 3.750 3.531 3.343 3.272 -0.796 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.288 0.6017232 0.5380819 0.5303482 0.2646771 0.3097942 0.6142348 0.2780834 0.1371335 0.1769893 0.3148533 0.3551730 0.2929200 0.2267504 0.1623117 0.1068361 0.0655028 0.0301117 0.0669355 0.0809217 0.0218570 0.0024326 0.0001993 0.0000588 0.0000299 0.0000052 0.0983191 
  13:38:33.30  2.353386 10 6.232 4.862 3.663 8.442 5.597 2.347 5.703 11.430 8.598 4.062 3.272 5.099 7.126 6.988 5.052 3.076 2.092 1.849 2.079 2.697 3.277 3.463 3.388 3.285 3.236 -0.777 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.240 0.6048895 0.5216108 0.5545015 0.2931045 0.3449487 0.5997633 0.2641737 0.1295635 0.1875378 0.3602372 0.3883777 0.2520566 0.1475590 0.1085099 0.0973268 0.0799750 0.0552426 0.0811768 0.0718980 0.0225063 0.0033115 0.0002973 0.0000780 0.0000369 0.0000061 0.0931396 
  13:38:33.90  2.301112 10 5.700 5.063 3.551 7.961 5.632 2.229 5.049 10.647 8.802 4.308 3.127 4.761 6.538 5.265 3.099 2.482 2.964 3.105 2.739 2.696 2.989 3.218 3.248 3.203 3.171 -0.992 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.168 0.6208333 0.5060231 0.5658541 0.3048994 0.3406491 0.6029455 0.2890538 0.1406216 0.1779248 0.3284491 0.3821585 0.2444797 0.1503053 0.1497351 0.1905267 0.1540049 0.0662168 0.0427035 0.0392323 0.0191556 0.0041362 0.0004540 0.0000803 0.0000339 0.0000062 0.1004518 
  13:38:34.40  2.088734 10 4.503 5.567 3.333 6.064 4.363 2.373 5.313 9.381 6.091 2.490 2.552 4.997 5.584 2.293 0.804 1.198 2.269 3.105 3.596 3.748 3.598 3.334 3.144 3.075 3.075 -1.638 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.096 0.6614922 0.4571075 0.5745642 0.3595738 0.3872295 0.5630670 0.2633927 0.1506823 0.2383056 0.4356181 0.3676004 0.1556327 0.0734821 0.0663710 0.1990681 0.2484350 0.1251906 0.0396906 0.0108351 0.0022062 0.0002956 0.0000777 0.0000480 0.0000124 0.0000008 0.1296479 
  13:38:35.10  1.933142 10 4.223 6.965 3.255 5.162 5.241 2.757 4.064 7.800 7.770 4.174 2.611 3.577 5.014 3.851 1.873 1.270 1.541 2.203 3.039 3.646 3.696 3.404 3.135 3.022 3.011 -1.714 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.037 0.6892272 0.3960457 0.6031044 0.3996542 0.3509739 0.5137475 0.3483889 0.1893284 0.1904353 0.3047479 0.4003227 0.2648372 0.1423306 0.1154710 0.1167438 0.1126196 0.1421623 0.0878475 0.0256309 0.0048988 0.0006681 0.0001054 0.0000583 0.0000189 0.0000017 0.1422684 
  13:38:35.70  3.367446 3 2.382 13.018 10.458 3.241 2.464 4.227 7.578 9.231 6.742 3.319 2.555 3.987 5.412 4.392 2.343 1.337 1.321 1.909 2.740 3.301 3.401 3.251 3.099 3.028 3.016 -0.521 2.000 6.217 10.892 16.073 21.817 28.184 35.242 43.066 51.739 61.353 72.009 83.822 96.917 111.433 127.523 145.359 165.131 187.047 211.342 238.273 268.125 301.217 337.899 378.561 421.315 3.030 0.8163792 0.1917463 0.2428215 0.5629741 0.5200521 0.3699974 0.1904264 0.1587369 0.2443198 0.3744716 0.3865643 0.2501775 0.1506815 0.1255198 0.1166633 0.0944732 0.1209463 0.0944386 0.0306763 0.0059816 0.0007867 0.0001193 0.0000621 0.0000186 0.0000016 0.4284325 
